"Cuadro No. 3.1.20 
Defunciones por provincia y cantón de residencia del fallecido, por grupos de edad 
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia de residencia habitual del fallecido,Cantón de residencia habitual del fallecido,Sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE
,,Hombre,,,,,,,,,,,,,,,,,,,,,,,,Mujer,,,,,,,,,,,,,,,,,,,,,,,,,
,, 5 a 9 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,100 a 104 años,105 a 109 años,110 a 114 años,115 y más años,Sin información, 5 a 9 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,100 a 104 años,105 a 109 años,110 a 114 años,115 y más años,Sin información,,
,Sigchos,  , 1 , 1 , 2 ,  , 2 , 1 , 1 ,  , 2 , 2 , 3 , 3 , 4 , 4 , 11 , 7 , 5 , 5 ,  ,  ,  ,  ,  ,  ,  , 1 , 1 , 1 , 1 , 1 ,  ,  , 2 , 3 , 4 , 3 , 3 , 7 , 8 , 4 , 8 , 4 , 1 ,  ,  ,  ,  ,,
Chimborazo,Riobamba, 2 , 6 , 10 , 20 , 19 , 27 , 17 , 22 , 39 , 58 , 64 , 69 , 104 , 108 , 96 , 89 , 107 , 70 , 29 , 1 , 1 , 1 ,  ,  , 1 , 3 , 5 , 6 , 5 , 9 , 12 , 11 , 22 , 35 , 43 , 53 , 50 , 71 , 90 , 92 , 111 , 104 , 59 , 10 , 3 ,  ,  ,  ,,
,Alausí, 2 ,  , 2 , 5 ,  , 1 , 3 , 4 , 6 , 7 , 6 , 7 , 11 , 14 , 16 , 17 , 25 , 11 , 4 , 2 ,  , 1 ,  ,  , 1 , 1 , 4 , 2 , 2 , 3 , 1 ,  , 1 , 4 , 4 , 7 , 12 , 11 , 18 , 10 , 20 , 22 , 6 , 1 , 1 ,  ,  ,  ,,
,Colta, 1 , 2 , 1 , 2 ,  , 4 , 6 , 3 , 4 , 5 , 5 , 9 , 14 , 17 , 27 , 34 , 26 , 10 , 3 , 2 ,  ,  ,  ,  ,  ,  ,  , 1 , 1 , 3 , 3 ,  , 2 , 5 , 4 , 8 , 4 , 14 , 20 , 24 , 25 , 19 , 3 , 3 ,  ,  , 1 ,  ,,
,Chambo,  ,  , 2 , 2 , 1 ,  , 1 , 1 , 1 , 4 , 3 , 3 , 4 , 2 , 4 , 8 , 3 , 2 , 5 ,  ,  ,  ,  ,  ,  , 1 , 1 ,  , 1 , 2 ,  ,  , 2 , 1 , 1 , 1 , 3 , 5 , 10 , 7 , 11 , 10 , 3 ,  ,  , 1 ,  ,  ,,
,Chunchi,  ,  ,  , 2 , 2 ,  , 1 , 2 , 3 , 3 , 3 , 4 , 2 , 6 , 2 , 10 , 7 , 7 , 1 ,  ,  ,  ,  ,  ,  , 1 ,  ,  ,  ,  ,  ,  , 2 , 1 ,  , 2 , 3 , 4 , 3 , 10 , 9 , 12 , 2 , 1 ,  ,  ,  ,  ,,
,Guamote, 2 , 1 ,  , 2 , 1 , 3 , 2 , 5 , 4 , 2 , 10 , 6 , 16 , 11 , 18 , 25 , 20 , 6 , 1 , 1 ,  ,  ,  ,  ,  ,  ,  , 2 , 4 , 1 , 2 , 3 , 1 , 4 , 4 , 6 , 11 , 7 , 12 , 16 , 24 , 4 , 1 ,  ,  ,  ,  ,  ,,
,Guano, 1 , 1 , 2 , 4 , 2 , 1 , 8 , 7 , 4 , 11 , 7 , 9 , 12 , 13 , 22 , 25 , 17 , 16 , 12 , 3 ,  ,  ,  ,  , 1 , 1 , 3 ,  , 3 , 2 , 2 , 1 , 2 , 3 , 10 , 10 , 5 , 16 , 14 , 12 , 20 , 10 , 10 , 3 , 1 ,  ,  ,  ,,
,Pallatanga,  ,  ,  , 1 , 1 , 1 ,  , 1 ,  , 1 , 4 , 2 , 2 , 3 , 5 , 10 , 8 , 6 , 2 ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 , 1 ,  ,  ,  , 1 , 4 , 6 , 5 , 7 , 1 ,  ,  ,  ,  ,  ,,
,Penípe,  ,  ,  , 1 , 1 , 1 ,  ,  , 1 ,  , 3 , 3 ,  , 2 , 3 , 6 , 7 , 7 ,  , 1 ,  ,  ,  ,  , 1 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  , 2 ,  , 2 , 4 , 4 , 1 ,  ,  ,  ,  ,  ,,
