Tipo Muert.;Provincia;Cantón;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Probable Causa M.;Edad;Med. Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anio_i;Mes_i;Cod_prov;cod_cantón
ASESINATO;EL ORO;HUAQUILLAS;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;12:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;505
ASESINATO;GUAYAS;SALITRE;RURAL;TERRENO BALDIO;PUBLICO;10/1/2023;6:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;919
ASESINATO;GUAYAS;NARANJAL;URBANO;CASA/VILLA;PRIVADO;7/1/2023;3:45;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;50;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
HOMICIDIO;LOJA;LOJA;URBANO;MERCADOS;PUBLICO;9/1/2023;16:00;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;51;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;11;1101
ASESINATO;LOJA;CATAMAYO;RURAL;VIA PUBLICA;PUBLICO;9/1/2023;22:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;49;A;HOMBRE;MESTIZO/A;DIVORCIADO;ECUADOR;2023;enero;11;1103
ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;23:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;505
ASESINATO;EL ORO;PASAJE;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;21:55;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;505
ASESINATO;MANABI;PUERTO LOPEZ;URBANO;INTERIOR DE VEHICULO PARTICULAR;PRIVADO;9/1/2023;16:30;OTROS;OTRO;HERIDAS CONTUSAS;30;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1319
HOMICIDIO;LOS RIOS;URDANETA;RURAL;VIA PUBLICA;PUBLICO;10/1/2023;15:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;36;A;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1206
HOMICIDIO;LOS RIOS;URDANETA;RURAL;VIA PUBLICA;PUBLICO;10/1/2023;15:01;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1206
HOMICIDIO;LOS RIOS;URDANETA;RURAL;VIA PUBLICA;PUBLICO;10/1/2023;15:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1206
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;TERRENO BALDIO;PUBLICO;10/1/2023;3:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;28;A;HOMBRE;MESTIZO/A;NO DETERMINADO;NO DETERMINADO;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;10/1/2023;11:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;19;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;10/1/2023;20:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;10/1/2023;22:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;58;A;HOMBRE;ASIATICO/A;SOLTERO;CHINA POPULAR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;HOSPITALES;PRIVADO;11/1/2023;2:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;AFRO;NO DETERMINADO;NO DETERMINADO;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;21:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;0;A;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;SUCUMBIOS;SHUSHUFINDI;RURAL;VIA PUBLICA;PUBLICO;10/1/2023;22:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;34;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;21;9003
ASESINATO;EL ORO;PASAJE;URBANO;VIA PUBLICA;PUBLICO;10/1/2023;18:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;0;A;HOMBRE;MESTIZO/A;NO DETERMINADO;NO DETERMINADO;2023;enero;7;505
HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;10/1/2023;23:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;17;1604
ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;11/1/2023;19:05;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;505
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;URBANO;NIGHT CLUBS;PRIVADO;12/1/2023;0:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;23;9003
ASESINATO;LOS RIOS;VENTANAS;URBANO;VIA PUBLICA;PUBLICO;11/1/2023;20:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;50;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;12;1207
ASESINATO;MANABI;SUCRE;URBANO;VIA PUBLICA;PUBLICO;11/1/2023;18:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1314
